Rank,Category1,Category2,Name,Size,Calories,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
5,Hot Coffees,Lattes,Caffè Latte,Short,100,9,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,,,,,,,,,
5,Hot Coffees,Lattes,Caffè Latte,Tall,150,14,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,,,,,,,,,
5,Hot Coffees,Lattes,Caffè Latte,Grande,190,18,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,,,,,,,,,
5,Hot Coffees,Lattes,Caffè Latte,Venti,250,23,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,,,,,,,,,
19,Hot Coffees,Lattes,Coconutmilk Latte,Short,70,6,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
19,Hot Coffees,Lattes,Coconutmilk Latte,Tall,100,9,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
19,Hot Coffees,Lattes,Coconutmilk Latte,Grande,130,12,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
19,Hot Coffees,Lattes,Coconutmilk Latte,Venti,170,15,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
33,Hot Coffees,Lattes,Smoked Butterscotch Latte,Short,180,21,https://globalassets.starbucks.com/assets/eea44e2041234b9cbaaff6607bea1d23.jpg,,,,,,,,,
33,Hot Coffees,Lattes,Smoked Butterscotch Latte,Tall,270,32,https://globalassets.starbucks.com/assets/eea44e2041234b9cbaaff6607bea1d23.jpg,,,,,,,,,
33,Hot Coffees,Lattes,Smoked Butterscotch Latte,Grande,350,41,https://globalassets.starbucks.com/assets/eea44e2041234b9cbaaff6607bea1d23.jpg,,,,,,,,,
33,Hot Coffees,Lattes,Smoked Butterscotch Latte,Venti,450,52,https://globalassets.starbucks.com/assets/eea44e2041234b9cbaaff6607bea1d23.jpg,,,,,,,,,
,Hot Coffees,Lattes,Starbucks® Blonde Smoked Butterscotch Latte,Short,140,15,https://globalassets.starbucks.com/assets/eea44e2041234b9cbaaff6607bea1d23.jpg,,,,,,,,,
,Hot Coffees,Lattes,Starbucks® Blonde Smoked Butterscotch Latte,Tall,230,26,https://globalassets.starbucks.com/assets/eea44e2041234b9cbaaff6607bea1d23.jpg,,,,,,,,,
,Hot Coffees,Lattes,Starbucks® Blonde Smoked Butterscotch Latte,Grande,310,35,https://globalassets.starbucks.com/assets/eea44e2041234b9cbaaff6607bea1d23.jpg,,,,,,,,,
,Hot Coffees,Lattes,Starbucks® Blonde Smoked Butterscotch Latte,Venti,410,46,https://globalassets.starbucks.com/assets/eea44e2041234b9cbaaff6607bea1d23.jpg,,,,,,,,,
,Hot Coffees,Lattes,Oatmilk Honey Latte,Short,140,14,https://globalassets.starbucks.com/assets/edd75880341c437ab194c14835fbb24e.jpg,,,,,,,,,
,Hot Coffees,Lattes,Oatmilk Honey Latte,Tall,200,21,https://globalassets.starbucks.com/assets/edd75880341c437ab194c14835fbb24e.jpg,,,,,,,,,
,Hot Coffees,Lattes,Oatmilk Honey Latte,Grande,270,28,https://globalassets.starbucks.com/assets/edd75880341c437ab194c14835fbb24e.jpg,,,,,,,,,
,Hot Coffees,Lattes,Oatmilk Honey Latte,Venti,360,36,https://globalassets.starbucks.com/assets/edd75880341c437ab194c14835fbb24e.jpg,,,,,,,,,
,Hot Coffees,Lattes,Oatmilk Honey Latte with Starbucks® Blonde Espresso,Short,120,10,https://globalassets.starbucks.com/assets/edd75880341c437ab194c14835fbb24e.jpg,,,,,,,,,
,Hot Coffees,Lattes,Oatmilk Honey Latte with Starbucks® Blonde Espresso,Tall,190,17,https://globalassets.starbucks.com/assets/edd75880341c437ab194c14835fbb24e.jpg,,,,,,,,,
,Hot Coffees,Lattes,Oatmilk Honey Latte with Starbucks® Blonde Espresso,Grande,260,24,https://globalassets.starbucks.com/assets/edd75880341c437ab194c14835fbb24e.jpg,,,,,,,,,
,Hot Coffees,Lattes,Oatmilk Honey Latte with Starbucks® Blonde Espresso,Venti,350,32,https://globalassets.starbucks.com/assets/edd75880341c437ab194c14835fbb24e.jpg,,,,,,,,,
,Hot Coffees,Lattes,Coconutmilk Latte with Starbucks® Blonde Espresso,Short,70,6,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
,Hot Coffees,Lattes,Coconutmilk Latte with Starbucks® Blonde Espresso,Tall,100,9,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
,Hot Coffees,Lattes,Coconutmilk Latte with Starbucks® Blonde Espresso,Grande,130,12,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
,Hot Coffees,Lattes,Coconutmilk Latte with Starbucks® Blonde Espresso,Venti,170,15,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
